,name,distance,mass,radius
0,SDSS J000013.54+255418.6 [de],46.1,0.010454631827309999,0.10173536999999999
2,2MASS J00040288-6410358,192.0,0.01151065524421,0.16750368999999998
4,2MASS J00242463-0158201,37.7,0.010349029485619998,0.11201167000000001
6,2MASS J00274197+0503417,236.0,0.009926620118859997,0.14797871999999998
8,2MASSW J0030300-145033,87.2,0.01710757935378,0.10070773999999999
9,2MASS J00332386-1521309 [de],131.0,0.013728304419699997,0.14695108999999998
10,2MASS J00345157+0523050,31.0,0.009926620118859997,0.09659721999999998
11,2MASS 0036+1821,28.6,0.015101134861669996,0.09659721999999998
12,2MASSW J0045214+163445,57.0,0.010349029485619998,0.16647606
13,WISEP J004701.06+680352.1 [fr],40.0,0.010349029485619998,0.13359189999999999
14,2MASS J00501994-3322402 [de],34.0,0.01710757935378,0.09659721999999998
16,2MASS J00584253-0651239 [de],96.0,0.010243427143929998,0.14695108999999998
18,2MASSI J0103320+193536,70.0,0.016157158278569998,0.10070773999999999
19,SDSSp J010752.33+004156.1 [de],51.0,0.01710757935378,0.10070773999999999
20,2MASSI J0117474-340325 [de],163.0,0.014889930178289996,0.16647606
21,2MASS J01415823-4633574 [de],130.0,0.010454631827309999,0.16544843
22,SDSS J015141.69+124429.6,70.0,0.01140505290252,0.09968010999999999
26,SDSS J020742.48+000056.2 [de],111.0,0.010243427143929998,0.09968010999999999
27,2MASS J02103857-3015313,101.0,0.010243427143929998,0.15722739
28,2MASS J02340093-6442068,155.0,0.012144269294349998,0.16647606
29,2MASS J02411151-0326587 [de],152.0,0.01752998872054,0.14489582999999998
30,2MASS J02431371−2453298,35.0,0.010032222460549998,0.10173536999999999
31,LP 771-21,53.0,0.013728304419699997,0.11098404
33,Teegarden's star,12.578,0.010982643535759999,0.13050900999999998
34,2MASS J02535980+3206373,184.0,0.015101134861669996,0.19524969999999997
35,WISE J0254+0223,24.0,0.01108824587745,0.19524969999999997
36,DEN 0255-4700,16.2,0.03991768515881999,0.09968010999999999
37,2MASS J03185403-3421292 [de],45.0,0.013411497394629997,0.09968010999999999
38,2MASS J03205965+1854233,47.0,0.013939509103079999,0.11817744999999999
39,2MASS J03231002-4631237,192.0,0.010032222460549998,0.17058658
40,SDSS J032553.17+042540.1,59.0,0.01151065524421,0.09762484999999999
41,2MASS J03264225-2102057 [de],80.0,0.013305895052939998,0.13359189999999999
42,2MASS J03284265+2302051 [de],98.0,0.020803661312929995,0.10070773999999999
43,2MASS J03341218-4953322,27.0,0.010243427143929998,0.10687352
44,LP 944-20,20.9,0.018797216820819997,0.14695108999999998
45,2MASP J0345432+254023,88.0,0.010560234168999998,0.10790115
46,Teide 1,380.0,0.010982643535759999,0.38844413999999994
47,2MASS J03510004-0052452,48.0,0.010560234168999998,0.13050900999999998
48,2MASS J03552337+1133437,29.8,0.014573123153219996,0.13564716
50,2MASS J04151954−0935066,18.6,0.010665836510689999,0.09762484999999999
52,2MASS J04285096-2253227 [de],85.0,0.014889930178289996,0.11201167000000001
53,2MASS J04351612-1606574,34.0,0.015945953595189997,0.12948137999999998
54,2MASS J04362788-4114465,142.0,0.010454631827309999,0.20244310999999998
55,2MASS J04390101-2353083 [de],29.5,0.010665836510689999,0.09968010999999999
57,2MASS J04433764+0002040,82.0,0.010877041194069998,0.18291813999999998
58,2MASS J04455387-3048204 [de],42.0,0.010349029485619998,0.102763
59,2MASS J04510093-3402150 [de],69.0,0.009926620118859997,0.10687352
60,2MASS J05002100+0330501 [de],44.0,0.009926620118859997,0.102763
61,2MASS J05012406-0010452 [de],64.0,0.009926620118859997,0.14181293999999997
62,2MASS J05160945-0445499 [de],73.0,0.010877041194069998,0.09968010999999999
63,2MASS J0523−1403,40.0,0.021226070679689995,0.10379063
65,SDSS J053951.99-005902.0,41.62,0.010349029485619998,0.10379063
67,LSR 0602+3910 [de],34.6,0.012144269294349998,0.14489582999999998
68,2MASS J06085283-2753583,102.0,0.010137824802239999,0.15517213
71,2MASS J06244595-4521548 [de],39.0,0.01129945056083,0.10173536999999999
72,2MASS J06411840-4322329 [de],65.0,0.010349029485619998,0.10379063
73,DENIS-P J0652197-253450 [de],51.0,0.009926620118859997,0.10790115
75,2MASS J07075327-4900503,60.0,0.010137824802239999,0.10584589
76,UGPS J072227.51-054031.2,13.4,0.009926620118859997,0.10070773999999999
77,2MASSI J0727182+171001 [de],29.6,0.010349029485619998,0.09659721999999998
78,2MASS J07290002-3954043 [de],25.8,0.014889930178289996,0.09659721999999998
79,SDSS J074201.41+205520.5 [de],49.0,0.010243427143929998,0.09659721999999998
81,DENIS-P J0751164-253043 [de],55.0,0.01129945056083,0.10584589
82,2MASS J07522390+1612157,60.0,0.01077143885238,0.20655362999999996
83,DENIS J081730.0-615520,16.1,0.010665836510689999,0.09659721999999998
86,2MASS J08251968+2115521 [de],35.0,0.019008421504199995,0.10070773999999999
87,SDSSp J083008.12+482847.4 [de],43.0,0.01309469036956,0.10173536999999999
88,LHS 2021,55.0,0.010137824802239999,0.11817744999999999
89,SDSS J083048.80+012831.1 [de],77.0,0.023232515171799997,0.09865247999999999
90,2MASSI J0835425-081923 [de],23.53,0.015840351253499998,0.102763
91,2MASSI J0847287-153237 [de],43.0,0.010560234168999998,0.102763
92,2MASS J08533619-0329321,27.6,0.018058000428989997,0.10995641
93,2MASSI J0859254-194926 [de],50.0,0.009926620118859997,0.10070773999999999
95,2MASSI J0937347+293142,20.0,0.021120468337999996,0.09659721999999998
96,2MASS 0939−2448,17.4,0.010349029485619998,0.09762484999999999
97,2MASS J09490860-1545485 [de],59.0,0.010349029485619998,0.09865247999999999
98,2MASS J10073369-4555147,46.0,0.010349029485619998,0.09659721999999998
99,2MASSI J1010148-040649 [de],55.0,0.010665836510689999,0.10070773999999999
102,2MASS J10224821+5825453 [de],60.0,0.010560234168999998,0.14489582999999998
103,2MASSW J1036530-344138 [de],53.0,0.010137824802239999,0.09968010999999999
104,2MASS J1047538+212423 [de],34.4,0.010454631827309999,0.09659721999999998
105,DEN 1048-3956,13.15,0.013939509103079999,0.10995641
106,Luhman 16B,6.516,0.011193848219139999,0.10481826
107,Luhman 16A,6.516,0.010877041194069998,0.10379063
108,DENIS-P J1058.7−1548,49.0,0.012566678661109998,0.102763
109,TWA 28,180.0,0.010454631827309999,0.24560357
110,Cha 110913-773444,163.0,0.015840351253499998,0.18497339999999998
112,SDSS J111010.01+011613.1,63.0,0.01108824587745,0.12742612
113,2MASS J11145133−2618235,18.2,0.009926620118859997,0.09865247999999999
114,TWA 26,137.0,0.009926620118859997,0.2260786
116,2MASS J11544223-3400390 [de],129.0,0.010454631827309999,0.1541445
117,2MASSW J1155395-372735 [de],31.0,0.01140505290252,0.102763
120,2MASS J12074836-3900043,217.0,0.010560234168999998,0.17572473
121,2MASSI J1217110-031113 [de],36.0,0.009926620118859997,0.09659721999999998
124,2M 1237+6526,45.6,0.009926620118859997,0.09659721999999998
126,TWA 29,262.0,0.010877041194069998,0.205526
127,SDSSp J125453.90-012247.4 [de],38.0,0.010243427143929998,0.10070773999999999
128,Kelu-1A,61.0,0.009926620118859997,0.10070773999999999
129,Kelu-1B,61.0,0.010982643535759999,0.10070773999999999
130,2MASS J13204427+0409045,101.0,0.014784327836599996,0.10379063
131,SDSSp J132629.82-003831.5 [de],65.0,0.010243427143929998,0.09968010999999999
132,SDSSp J134646.45-003150.4 [de],48.0,0.010032222460549998,0.09659721999999998
133,2MASS J13595510-4034582,51.0,0.01129945056083,0.102763
134,ULAS J141623.94+134836.3,29.7,0.010665836510689999,0.09865247999999999
135,SDSS J141659.78+500626.4 [de],149.0,0.01288348568618,0.10173536999999999
136,DENIS-P J142527.97-365023.4 [de],38.0,0.019853240237719994,0.13564716
137,LHS 2924,38.5,0.010137824802239999,0.10892878
138,2MASS J14392837+1929150,47.0,0.01077143885238,0.10584589
139,LSPM J1440+1339,72.0,0.01077143885238,0.12228796999999998
140,2MASS J14482563+1031590 [de],47.0,0.016157158278569998,0.10173536999999999
141,CFBDSIR 1458+10A,104.0,0.012777883344489998,0.1541445
142,CFBDSIR 1458+10B,104.0,0.010137824802239999,0.13359189999999999
143,TVLM 513-46546,35.1,0.010454631827309999,0.10790115
144,2MASS 1503+2525,20.7,0.014045111444769998,0.09659721999999998
145,CFBDS J150411+102717,71.0,0.014889930178289996,0.09659721999999998
146,2MASSW J1506544+132106 [de],46.0,0.010454631827309999,0.10481826
147,2MASS 1507−1627,23.9,0.009926620118859997,0.10173536999999999
148,TVLM 868-110639,53.0,0.010982643535759999,0.11098404
150,2MASSW J1515008+484742 [de],34.0,0.014678725494909997,0.10173536999999999
151,2MASSI J1526140+204341 [de],67.0,0.01679077232871,0.10070773999999999
152,DENIS-P J153941.96-052042.4 [de],51.0,0.012249871636039997,0.102763
153,2MASS J15462718-3325111 [de],37.0,0.01151065524421,0.09659721999999998
154,2MASSW J1552591+294849 [de],68.0,0.012355473977729996,0.14695108999999998
155,2MASSW J1555157-095605 [de],44.0,0.0443529835098,0.10584589
156,2MASS J16150413+1340079 [de],48.0,0.04012888984219999,0.09659721999999998
157,SDSSp J162414.37+002915.6 [de],36.0,0.00908180138534,0.09659721999999998
158,2MASS J16262034+3925190 [de],110.0,71,0.10584589
159,2MASSW J1632291+190441 [de],50.0,49,0.09968010999999999
160,WISEPA J164715.59+563208.2,28.0,41,0.09659721999999998
161,LSPM J1658+7027 [de],60.0,73,0.10687352
162,2MASSI J1726000+153819,114.0,24,0.14386819999999997
164,SDSSp J175032.96+175903.9,90.0,47,0.09968010999999999
165,2MASS J18283572-4849046,39.0,45,0.09762484999999999
166,LSR J1835+3259,18.5,77,0.10995641
167,2MASSW J1841086+311727,138.0,67,0.10379063
168,2MASS J18432213+4040209,46.0,96,0.12537086
169,2MASS J20004841-7523070,105.0,25,0.19319443999999997
170,SDSS J204749.61-071818.3,65.0,46,0.09865247999999999
171,2MASSI J2057540-025230,47.0,70,0.10481826
173,2MASSI J2104149-103736,62.0,69,0.10481826
174,PSO J318.5−22,80.0,6.5,0.15722739
175,HB 2124-4228,113.0,94,0.12434322999999999
176,2MASS J21392676+0220226,32.1,46,0.09865247999999999
177,2MASS J21481628+4003593,26.3,55,0.10173536999999999
179,2MASSW J2206450-421721,93.0,22,0.13667479
180,2MASSW J2208136+292121,154.0,27,0.14489582999999998
181,2MASSW J2224438-015852,38.0,61,0.10173536999999999
182,2MASS J22282889-4310262,35.0,42,0.09659721999999998
183,2MASS J22373255+3922398,64.0,73,0.10687352
184,2MASSW J2244316+204343,56.0,12,0.13256426999999998
185,2MASS J23224684-3133231,56.0,24,0.14284056999999997
186,2MASS J23225299-6151275,148.0,17,0.16339317
187,2MASS J23515044-2537367,67.0,88,0.11920507999999998
188,2MASSI J2356547-155310,74.0,80,0.11201167000000001
226,WISE 0410+1502,20.0,6,0.12023270999999998
230,WISE 0458+6434A,35.9,15,0.4316046
231,WISE 0458+6434B,35.9,10,0.39049939999999994
285,WISE 1405+5534,25.3,30,0.08837618
