name,distance,mass,radius,,name,distance,mass,radius
Sun,0.000015813,1,1,0,SDSS J000013.54+255418.6 [de],46.1,0.010454631827309999,0.10173536999999999
Sirius,8.6,2.1,1.71,2,2MASS J00040288-6410358,192.0,0.01151065524421,0.16750368999999998
Canopus,310,15,71,4,2MASS J00242463-0158201,37.7,0.010349029485619998,0.11201167000000001
Alpha Centauri,4.4,1.1,1.2,6,2MASS J00274197+0503417,236.0,0.009926620118859997,0.14797871999999998
Arcturus,37,1.1,26,8,2MASSW J0030300-145033,87.2,0.01710757935378,0.10070773999999999
Vega,25,2.2,2.7,9,2MASS J00332386-1521309 [de],131.0,0.013728304419699997,0.14695108999999998
Capella,43,2.6,12,10,2MASS J00345157+0523050,31.0,0.009926620118859997,0.09659721999999998
Rigel,860,23,78.9,11,2MASS 0036+1821,28.6,0.015101134861669996,0.09659721999999998
Procyon,11.4,1.5,1.9,12,2MASSW J0045214+163445,57.0,0.010349029485619998,0.16647606
Betelgeuse,0640[1],20,950,13,WISEP J004701.06+680352.1 [fr],40.0,0.010349029485619998,0.13359189999999999
Achernar,144,6.7,9.3,14,2MASS J00501994-3322402 [de],34.0,0.01710757935378,0.09659721999999998
Hadar,390,10.5,8.6,16,2MASS J00584253-0651239 [de],96.0,0.010243427143929998,0.14695108999999998
Altair,17,1.8,1.8,18,2MASSI J0103320+193536,70.0,0.016157158278569998,0.10070773999999999
Acrux,320,18,8.9,19,SDSSp J010752.33+004156.1 [de],51.0,0.01710757935378,0.10070773999999999
Aldebaran,65,1.5,44,20,2MASSI J0117474-340325 [de],163.0,0.014889930178289996,0.16647606
Antares,600,12,680,21,2MASS J01415823-4633574 [de],130.0,0.010454631827309999,0.16544843
Spica,260,11.43,7.47,22,SDSS J015141.69+124429.6,70.0,0.01140505290252,0.09968010999999999
Pollux,34,1.9,8.8,26,SDSS J020742.48+000056.2 [de],111.0,0.010243427143929998,0.09968010999999999
Fomalhaut,25,1.9,1.8,27,2MASS J02103857-3015313,101.0,0.010243427143929998,0.15722739
Deneb,"2,600",19,203,28,2MASS J02340093-6442068,155.0,0.012144269294349998,0.16647606
Mimosa,350,16,8.4,29,2MASS J02411151-0326587 [de],152.0,0.01752998872054,0.14489582999999998
Regulus,77,3.8,3.1,30,2MASS J02431371−2453298,35.0,0.010032222460549998,0.10173536999999999
Adhara,430,12.5,14,31,LP 771-21,53.0,0.013728304419699997,0.11098404
Shaula,700,14.5,8.8,33,Teegarden's star,12.578,0.010982643535759999,0.13050900999999998
Castor,52,2.8,2.4,34,2MASS J02535980+3206373,184.0,0.015101134861669996,0.19524969999999997
Gacrux,88,1.5,84,35,WISE J0254+0223,24.0,0.01108824587745,0.19524969999999997
Bellatrix,240,8.6,5.8,36,DEN 0255-4700,16.2,0.03991768515881999,0.09968010999999999
Elnath,130,5,4.2,37,2MASS J03185403-3421292 [de],45.0,0.013411497394629997,0.09968010999999999
Miaplacidus,110,3.5,6.8,38,2MASS J03205965+1854233,47.0,0.013939509103079999,0.11817744999999999
Alnilam,"2,000",32,42,39,2MASS J03231002-4631237,192.0,0.010032222460549998,0.17058658
Gamma Velorum,"1,100",9,6,40,SDSS J032553.17+042540.1,59.0,0.01151065524421,0.09762484999999999
Alnair,101,4,3.4,41,2MASS J03264225-2102057 [de],80.0,0.013305895052939998,0.13359189999999999
Alioth,81,2.9,4.2,42,2MASS J03284265+2302051 [de],98.0,0.020803661312929995,0.10070773999999999
Alnitak,1050,33,20,43,2MASS J03341218-4953322,27.0,0.010243427143929998,0.10687352
Dubhe,120,4.25,30,44,LP 944-20,20.9,0.018797216820819997,0.14695108999999998
Mirfak,590,8.5,68,45,2MASP J0345432+254023,88.0,0.010560234168999998,0.10790115
Wezen,"1,600",17,200,46,Teide 1,380.0,0.010982643535759999,0.38844413999999994
Sargas,270,5.7,26,47,2MASS J03510004-0052452,48.0,0.010560234168999998,0.13050900999999998
Kaus Australis,140,3.5,6.8,48,2MASS J03552337+1133437,29.8,0.014573123153219996,0.13564716
Avior,630,9,130,50,2MASS J04151954−0935066,18.6,0.010665836510689999,0.09762484999999999
Alkaid,104,6.1,3.4,52,2MASS J04285096-2253227 [de],85.0,0.014889930178289996,0.11201167000000001
Menkalinan,81,2.39,2.77,53,2MASS J04351612-1606574,34.0,0.015945953595189997,0.12948137999999998
Atria,390,7,92,54,2MASS J04362788-4114465,142.0,0.010454631827309999,0.20244310999999998
Alhena,109,2.8,3.3,55,2MASS J04390101-2353083 [de],29.5,0.010665836510689999,0.09968010999999999
Peacock,180,5.9,4.8,57,2MASS J04433764+0002040,82.0,0.010877041194069998,0.18291813999999998
Alsephina[2],80,2.4,2.9,58,2MASS J04455387-3048204 [de],42.0,0.010349029485619998,0.102763
Mirzam,500,13.5,10,59,2MASS J04510093-3402150 [de],69.0,0.009926620118859997,0.10687352
Polaris,430,5.4,39,60,2MASS J05002100+0330501 [de],44.0,0.009926620118859997,0.102763
Alphard,180,3,50,61,2MASS J05012406-0010452 [de],64.0,0.009926620118859997,0.14181293999999997
Mintaka,1200,24,16.5,62,2MASS J05160945-0445499 [de],73.0,0.010877041194069998,0.09968010999999999
Scheat,196,2.1,95,63,2MASS J0523−1403,40.0,0.021226070679689995,0.10379063
Almaaz,653,15,140,65,SDSS J053951.99-005902.0,41.62,0.010349029485619998,0.10379063
Rasalgethi,360,2.8,280,67,LSR 0602+3910 [de],34.6,0.012144269294349998,0.14489582999999998
Tau Ceti,11.9,0.783,0.893,68,2MASS J06085283-2753583,102.0,0.010137824802239999,0.15517213
Delta Pavonis,19.92,0.991,1.22,71,2MASS J06244595-4521548 [de],39.0,0.01129945056083,0.10173536999999999
Ran,10.48,0.82,0.74,72,2MASS J06411840-4322329 [de],65.0,0.010349029485619998,0.10379063
V382 Carinae,"8,900",20,485,73,DENIS-P J0652197-253450 [de],51.0,0.009926620118859997,0.10790115
Eta Carinae,"7,500",100,60–881,75,2MASS J07075327-4900503,60.0,0.010137824802239999,0.10584589
Delta Cephei,887,4.5,44.5,76,UGPS J072227.51-054031.2,13.4,0.009926620118859997,0.10070773999999999
Mu Cephei,"6,000",19.2,972,77,2MASSI J0727182+171001 [de],29.6,0.010349029485619998,0.09659721999999998
Titawin,44.25,1.27,1.48,78,2MASS J07290002-3954043 [de],25.8,0.014889930178289996,0.09659721999999998
Rho Cassiopeiae,"8,154",22,636-981,79,SDSS J074201.41+205520.5 [de],49.0,0.010243427143929998,0.09659721999999998
P Cygni,"5,545",30,76,81,DENIS-P J0751164-253043 [de],55.0,0.01129945056083,0.10584589
La Superba,"1,000",,129 - 342,82,2MASS J07522390+1612157,60.0,0.01077143885238,0.20655362999999996
VV Cephei,"4,900",18.2,"516 - 1,050",83,DENIS J081730.0-615520,16.1,0.010665836510689999,0.09659721999999998
61 Cygni,11.41,0.7,0.665,86,2MASS J08251968+2115521 [de],35.0,0.019008421504199995,0.10070773999999999
R Doradus,178,0.7 - 1.0,298,87,SDSSp J083008.12+482847.4 [de],43.0,0.01309469036956,0.10173536999999999
Polaris Australis,281,1.59,3.74,88,LHS 2021,55.0,0.010137824802239999,0.11817744999999999
R Coronae Borealis,"4,566",0.85,85,89,SDSS J083048.80+012831.1 [de],77.0,0.023232515171799997,0.09865247999999999
54 Piscium,36.1,0.76,0.94,90,2MASSI J0835425-081923 [de],23.53,0.015840351253499998,0.102763
Mira,300,1.2,370,91,2MASSI J0847287-153237 [de],43.0,0.010560234168999998,0.102763
RW Cephei,"14,000",13.9,"1,158",92,2MASS J08533619-0329321,27.6,0.018058000428989997,0.10995641
Lacaille 8760,12.87,0.6,0.51,93,2MASSI J0859254-194926 [de],50.0,0.009926620118859997,0.10070773999999999
V838 Monocerotis,"19,896",?,380 - 750,95,2MASSI J0937347+293142,20.0,0.021120468337999996,0.09659721999999998
HD 140283,190,?,1.4,96,2MASS 0939−2448,17.4,0.010349029485619998,0.09762484999999999
II Pegasi,130,0.8,3.4,97,2MASS J09490860-1545485 [de],59.0,0.010349029485619998,0.09865247999999999
VY Canis Majoris,"3,900",17,"1,420",98,2MASS J10073369-4555147,46.0,0.010349029485619998,0.09659721999999998
Pistol Star,"25,000",100,320,99,2MASSI J1010148-040649 [de],55.0,0.010665836510689999,0.10070773999999999
S Doradus,"1,69,000",24,380,102,2MASS J10224821+5825453 [de],60.0,0.010560234168999998,0.14489582999999998
UY Scuti,"5,100",7–10,755,103,2MASSW J1036530-344138 [de],53.0,0.010137824802239999,0.09968010999999999
Barnard's Star,5.98,0.14,0.2,104,2MASS J1047538+212423 [de],34.4,0.010454631827309999,0.09659721999999998
Luhman 16,6.52,0.04,?,105,DEN 1048-3956,13.15,0.013939509103079999,0.10995641
Proxima Centauri,4.25,0.12,0.15,106,Luhman 16B,6.516,0.011193848219139999,0.10481826
KIC 8462852,"1,470",1.43,1.58,107,Luhman 16A,6.516,0.010877041194069998,0.10379063
R136a1,"1,63,000",290,32,108,DENIS-P J1058.7−1548,49.0,0.012566678661109998,0.102763
Melnick 42,"1,63,000",189,21.1,109,TWA 28,180.0,0.010454631827309999,0.24560357
WR 102,"18,134",19,0.39,110,Cha 110913-773444,163.0,0.015840351253499998,0.18497339999999998
VFTS 352,"1,64,000",57.48,14.47,112,SDSS J111010.01+011613.1,63.0,0.01108824587745,0.12742612
YBP 1194,"2,772",1.01,0.99,113,2MASS J11145133−2618235,18.2,0.009926620118859997,0.09865247999999999
Gliese 1214,47.5,0.16,0.21,114,TWA 26,137.0,0.009926620118859997,0.2260786
NML Cygni,"5,251",50,"1,640 - 2,770",116,2MASS J11544223-3400390 [de],129.0,0.010454631827309999,0.1541445
VB 10,18.72,0.075,0.1,117,2MASSW J1155395-372735 [de],31.0,0.01140505290252,0.102763
WOH G64,"1,63,000",<20,"1,540 - 1,730",120,2MASS J12074836-3900043,217.0,0.010560234168999998,0.17572473
TRAPPIST-1,39.6,0.089,0.12,121,2MASSI J1217110-031113 [de],36.0,0.009926620118859997,0.09659721999999998
2MASS J0523-1403,40.3,0.07,0.086,124,2M 1237+6526,45.6,0.009926620118859997,0.09659721999999998
WISE 0855−0714,7.27,0.003,?,126,TWA 29,262.0,0.010877041194069998,0.205526
Icarus,"14,40,00,00,000",33,?,127,SDSSp J125453.90-012247.4 [de],38.0,0.010243427143929998,0.10070773999999999
